NODE_KEY,CITY,POSTAL_CODE,STREET,BUILDING,COUNTRY,VAL_START_DATE,VAL_END_DATE,LATITUDE,LONGITUDE
000D3AACE3131EDD95A2615F9D635A3C,Munich,85399,Zeppelinstrasse,2,DE,1/1/2000,12/31/9999,48.331816,11.736955
000D3AACE3131EDD95A2615F9D639A3C,"Antioch, Illinois",60002,Tiffany Road,54,US,1/1/2000,12/31/9999,0,0
000D3AACE3131EDD95A2615F9D63BA3C,San Francisco,94101,Summerset Street,6,US,1/1/2000,12/31/9999,0,0
000D3AACE3131EDD95A2615F9D63DA3C,San Francisco,94101,Risel Avenue,35,US,1/1/2000,12/31/9999,0,0
000D3AACE3131EDD95A2615F9D63FA3C,San Francisco,94101,Winding Way,8,US,1/1/2000,12/31/9999,0,0
000D3AACE3131EDD95A2615F9D641A3C,New York,10011,11th Avenue,17,US,1/1/2000,12/31/9999,0,0
000D3AACE3131EDD95A2615F9D643A3C,San Francisco,94101,San Fernando Way,10,US,1/1/2000,12/31/9999,0,0
000D3AACE3131EDD95A2615F9D645A3C,"Antioch, Illinois",60002,7th Avenue,32,US,1/1/2000,12/31/9999,0,0
000D3AACE3131EDD95A2615F9D647A3C,New York,10011,57th Avenue,19,US,1/1/2000,12/31/9999,0,0
000D3AACE3131EDD95A2615F9D649A3C,"Antioch, Illinois",60002,Fillmore Street,59,US,1/1/2000,12/31/9999,0,0
000D3AACE3131EDD95A2615F9D64BA3C,London,EC1Y8SY,Castle Lane,25,GB,1/1/2000,12/31/9999,0,0
000D3AACE3131EDD95A2615F9D64DA3C,London,EC1Y8SY,Wilton Road,24,GB,1/1/2000,12/31/9999,0,0
000D3AACE3131EDD95A2615F9D64FA3C,London,EC1Y8SY,Flood Street,18,GB,1/1/2000,12/31/9999,0,0
000D3AACE3131EDD95A2615F9D651A3C,Berlin,10001,Drosselweg,28,DE,1/1/2000,12/31/9999,0,0
000D3AACE3131EDD95A2615F9D653A3C,San Francisco,94101,Queens Boulevard,15,US,1/1/2000,12/31/9999,0,0
